SMILES,logP
CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,0.4
CC(=O)OC(CC(=O)O)C[N+](C)(C)C,-0.3
C1=CC(C(C(=C1)C(=O)O)O)O,-0.3
CC(CN)O,-1.0
C(C(=O)COP(=O)(O)O)N,-5.0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,2.3
CCN1C=NC2=C(N=CN=C21)N,0.2
CCC(C)(C(C(=O)O)O)O,-0.4
C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,-4.8
C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-1.2
C(CCl)Cl,1.5
C1=C(C=C(C(=C1O)O)O)O,0.8
C1=CC(=C(C=C1Cl)Cl)Cl,4.0
CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O,3.1
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,3.7
C1CCC(=O)NCCCCCC(=O)NCC1,0.6
C1C=CC(=NC1C(=O)O)C(=O)O,-0.1
C(C(C(C(=O)C(=O)C(=O)O)O)O)O,-1.8
C1=CC(=C(C(=C1)O)O)C(=O)O,1.2
C1=CC(=C(C(=C1)O)O)CCC(=O)O,1.0
CCC(C(=O)C)(C(=O)O)O,-0.2
CC(=O)C(C)(C(=O)O)O,-0.7
C(=CC(=C(C(=O)O)N)C(=O)O)C=O,-0.5
C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O,-4.5
C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O,-3.3
CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O,-2.7
C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O,-6.9
C(=CC(=O)O)C=C(C(=O)O)N,-0.3
C(=O)C(C(=O)O)N,-3.7
C(=CC=O)C=C(C(=O)O)N,-0.3
CC(CO)(C(COP(=O)(O)O)O)O,-3.3
C(=CC(=O)O)C=C(C(=O)O)C(=O)O,1.0
C(C=O)Cl,0.3
C(CCl)O,-0.1
C1=CC(OC1=O)(CC(=O)O)Cl,0.3
CC(C)C(C(C(=O)O)O)C(=O)O,0.0
C(C(C(CO)O)O)C(=O)C(=O)O,-2.3
CC(C)(CO)C(=O)C(=O)O,-0.1
CC1(COC(=O)C1=O)C,0.6
C1C(C(C(OC1O)CO)O)O,-1.6
CSCCC(=O)C(=COP(=O)(O)O)O,-1.0
C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O,-0.4
C(CC(=O)O)C(C(=O)O)O,-1.0
C(C(=O)[O-])(C(=O)[O-])O,0.2
C(C(=O)O)(C(=O)O)O,-1.1
C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O,-3.4
CCC(C)C(=O)C(=O)O,1.1
C(CC(=O)N)C(=O)C(=O)O,-1.5
CC(C)C(=O)C(=O)O,0.7
C(C(C(C(C(=O)C(=O)O)O)O)O)O,-2.9
C(CC(=O)O)C(=O)C(=O)O,-0.9
CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-5.4
CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-5.2
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-4.2
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C,16.1
CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C,15.8
